#key,translationString
#some of these keys don't have {number} values
#these are useful for formatting, yes
#but if you're intentionally updating some text every frame
#DO NOT use those as they can be a little bit expensive

name,Portuguese (Brazil)
nativeName,Português (Brasil)

The Funkin' Crew Inc,A Funkin' Crew.
present,apresenta
In Partnership,Em parceria
with,com
Newgrounds,Newgrounds

freeplay_PB,RECORDE PESSOAL:

difficulty_easy,Fácil
difficulty_normal,Normal
difficulty_hard,Difícil
difficulty_erect,Durão
difficulty_nightmare,Medonho

score,Pontos: {1}
comboBreaks,Combo Breaks: {1}
accuracy,Precisão: {1}
keScoreText,Pontos: {1} | Combo Breaks: {2} | Precisão: {3}% | {4}
keScoreTextNoAcc,Pontos: {1}

pause_resumeSong,Continuar
pause_restartSong,Reiniciar
pause_exit,Sair

judge_Sick,Sick
judge_Great,Great
judge_Good,Good
judge_Bad,Bad
judge_Shit,Shit
judge_Miss,Erro

judge_Sick_plural,Sicks
judge_Great_plural,Greats
judge_Good_plural,Goods
judge_Bad_plural,Bads
judge_Shit_plural,Shits
judge_Miss_plural,Erros

optionval_ON,LIGADO
optionval_OFF,DESLIGADO
optionval_Up,Cima
optionval_Down,Baixo
optionval_Split,Dividido
optionval_Strums,Notas
optionval_Stage,Cenário

option_frameRate,Taxa de Quadros
option_scrollType,Tipo de Scroll
option_centerStrums,Centralizar Notas
option_ghostTapping,Ghost Tapping
option_etternaMode,Precisão Avançada
option_scrollSpeed,Velocidade das Notas

option_note_left,Nota Esquerda
option_note_down,Nota Baixo
option_note_up,Nota Cima
option_note_right,Nota Direita
option_ui_left,Menu Esquerda
option_ui_down,Menu Baixo
option_ui_up,Menu Cima
option_ui_right,Menu Direita
option_ui_accept,Menu Aceitar
option_ui_back,Menu Voltar

option_lowQualityMode,Qualidade Baixa
option_accuracyDisplay,Mais Estatísticas
option_showMissPopups,Mostrar Combo Negativo
option_showSongPosition,Barra de Progresso
option_showJudgeCounts,Contador de Classificações
option_showNps,Notas por Segundo
option_noteSplashes,Note Splashes
option_distractions,Distrações
option_language,Idioma
option_strumUnderlay,Escurecer Interface
option_strumUnderlayType,Tipo de Escuridão

optiondesc_frameRate,Quantas vezes o jogo é atualizado e mostrado na tela
optiondesc_scrollType,Muda a direção de deslize das notas
optiondesc_centerStrums,Centraliza suas notas e esconde as do seu oponente
optiondesc_ghostTapping,Deixa tu apertar teclas quando não há notas pra se acertar, sem penalidade.
optiondesc_etternaMode,Muda a calculadora de precisão pra usar o sistema do Etterna\nTe encoraja a jogar bem, mas é meio maldoso com novos jogadores
optiondesc_scrollSpeed,Substitui a velocidade das notas com sua própria\nSe aplicará se o valór não for 1

optiondesc_note_left,Tecla para acertar Notas apontando para à Esquerda
optiondesc_note_down,Tecla para acertar Notas apontando para Baixo
optiondesc_note_up,Tecla para acertar Notas apontando para Cima
optiondesc_note_right,Tecla para acertar Notas apontando para à Direita
optiondesc_ui_left,Tecla para ir à Esquerda em qualquer menu
optiondesc_ui_down,Tecla para ir para Baixo em qualquer menu
optiondesc_ui_up,Tecla para ir para Cima em qualquer menu
optiondesc_ui_right,Tecla para ir à Direita em qualquer menu
optiondesc_ui_accept,Tecla para confirmar ou ativar um elemento em um menu
optiondesc_ui_back,Tecla para recusar ou sair de um menu

optiondesc_lowQualityMode,Esconde certos elementos no fundo para ajudar com o carregamento (em algums casos, pode ajudar com desempenho)
optiondesc_accuracyDisplay,Mostra Erros e Precisão no Texto de Pontuação
optiondesc_showMissPopups,Mostra quantas vezes tu errou notas em sequência
optiondesc_showSongPosition,Auto-explicativo, Afeta o HUD
optiondesc_showJudgeCounts,Mostra um contador de classificações na esquerda do HUD
optiondesc_showNps,Mostra um contador de Notas por Segundo no HUD
optiondesc_noteSplashes,Acertar um Sick/Great mostrará um efeito legal que te da uma ereção sinistra
optiondesc_distractions,Desativa certos sons e efeitos que podem te distrair
optiondesc_language,Muda todos os textos no jogo para usar um idioma diferente
optiondesc_strumUnderlay,Mostra um fundo escuro atrás de suas notas ou no cenário
optiondesc_strumUnderlayType,Decide onde o fundo escuro da opção acima se mostrará
